task,vol,python,go,rust,zig,vol/python,vol/go,vol/rust,vol/zig
01-hello,27,27,44,35,72,1.000,0.614,0.771,0.375
02-arithmetic,25,37,52,58,102,0.676,0.481,0.431,0.245
03-conditions,33,38,57,51,90,0.868,0.579,0.647,0.367
04-loops,38,38,63,54,101,1.000,0.603,0.704,0.376
05-arrays-each,54,55,84,69,110,0.982,0.643,0.783,0.491
06-where-sum,43,57,112,71,108,0.754,0.384,0.606,0.398
07-functions,36,41,63,59,78,0.878,0.571,0.610,0.462
08-strings-assert,27,38,56,58,86,0.711,0.482,0.466,0.314
09-grade-report,111,180,225,197,294,0.617,0.493,0.563,0.378
10-fibonacci,30,32,53,59,89,0.938,0.566,0.508,0.337
11-leaderboard,144,185,277,218,337,0.778,0.520,0.661,0.427
12-revenue,91,128,169,150,222,0.711,0.538,0.607,0.410
13-temperatures,156,178,228,177,267,0.876,0.684,0.881,0.584
